gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
B3GALT2,8707,layer 6,++++,layer 5/6,layer(5)6
BACE2,25825,NA,+++,scattered+ubiquitous,scattered+ubiquitous
BAD,572,NA,++,ubiquitous,ubiquitous
BAX,581,NA,++,ubiquitous,ubiquitous
BCAN,63827,astrocyte,++++,scattered,scattered
BCHE,590,NA,+,sparse to none,sparse to none
BCL2,596,NA,+,ubiquitous,ubiquitous
BCL2L1,598,NA,++++,ubiquitous,ubiquitous
BCL6,604,NA,+++++,sparse(5)+ubiquitous,sparse(5)+ubiquitous
BCOR,54880,NA,++++,ubiquitous,ubiquitous
BDNF,627,NA,+++++,"scattered(2/3,6)","scattered(2/3,6)"
BEND5,79656,layer 3,+++,"layer 2/3,4C,5/6",ubiquitous
BEND5,79656,layer 3,+++,"layer 2/3,4C,5/6",ubiquitous
BEND5,79656,layer 5,+++,"layer 2/3,4C,5/6",ubiquitous
BEND5,79656,layer 5,+++,"layer 2/3,4C,5/6",ubiquitous
BLMH,642,NA,++,ubiquitous,ubiquitous
BRCA1,672,NA,+,ubiquitous,ubiquitous
BRD7,29117,NA,++,ubiquitous,ubiquitous
BSN,8927,NA,++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
BTBD11,121551,interneuron,++++,scattered,scattered
BTN2A1,11120,NA,++,ubiquitous,ubiquitous
C11orf87,399947,NA,++++,"scattered+ubiquitous(2/3,4C,5/6)",scattered+ubiquitous
C1QL2,165257,layer 2,+++,ubiquitous(2),ubiquitous(2)
C1QL2,165257,layer 2,+++,ubiquitous(2),ubiquitous(2)
C1QL2,165257,layer 3,+++,ubiquitous(2),ubiquitous(2)
C1QL2,165257,layer 3,+++,ubiquitous(2),ubiquitous(2)
LAMP5,24141,layer 2,+++++,layer 2/3+scattered,"layer 2,3+scattered"
LAMP5,24141,layer 2,+++++,layer 2/3+scattered,"layer 2,3+scattered"
LAMP5,24141,layer 3,+++++,layer 2/3+scattered,"layer 2,3+scattered"
LAMP5,24141,layer 3,+++++,layer 2/3+scattered,"layer 2,3+scattered"
YBEY,54059,NA,+++,ubiquitous,ubiquitous
NDNF,79625,interneuron,+++++,layer 1,layer 1
NDNF,79625,interneuron,+++++,layer 1,layer 1
NDNF,79625,layer 1,+++++,layer 1,layer 1
NDNF,79625,layer 1,+++++,layer 1,layer 1
COA1,55744,NA,+++,scattered+ubiquitous,ubiquitous
RBIS,401466,NA,+,ubiquitous,ubiquitous
CA2,760,oligodendrocyte,+++++,"scattered,oligodendrocyte","scattered,oligodendrocyte"
CA3,761,NA,-,none,none
CACNA1B,774,NA,+++,"layer 2/3,6",ubiquitous
CACNA1C,775,NA,+++,ubiquitous,ubiquitous
CACNA1D,776,NA,+++,ubiquitous,ubiquitous
CACNA1E,777,layer 2,+++,"layer 2/3,6","layer 2/3,6"
CACNA1E,777,layer 2,+++,"layer 2/3,6","layer 2/3,6"
